Keys,English,French,Italian,German,Spanish (LATAM),Portuguese (Brazil),Turkish,Russian,Japanese,Korean,Chinese (Simplified),Arabic
sc_1_3_1,Be Kind,Soyez gentil,Sii gentile,Freundlich sein,Sé amable,Seja gentil,Nazik Ol,Будьте добры,親切にしてください,친절하세요,友善一点,كن لطيفا
sc_1_3_2,Be Honest,Soyez honnête,Sii onesto,Seien Sie ehrlich,Sea honesto,Seja honesto,Dürüst Ol,Будьте честны,正直であれ,솔직해지세요,诚实,كن صادقا
sc_6_1,Open Door,Porte ouverte,Porta aperta,Tür öffnen,puerta abierta,Porta aberta,Açık Kapı,Открытая дверь,オープンドア,문호 개방,开门,افتح الباب
sc_6_2,Dismiss,Rejeter,Congedare,Zurückweisen,Despedir,Liberar,Azletmek,Увольнять,却下する,해고하다,解雇,رفض
sc_10_12_1,Greet,Saluer,Salutare,Begrüßen,Saludar,Saudar,Selamlaşmak,Приветствовать,挨拶する,환영하다,迎接,تحية
sc_10_12_2,Ignore,Ignorer,Ignorare,Ignorieren,Ignorar,Ignorar,Görmezden gelmek,игнорировать,無視する,무시하다,忽略,يتجاهل
sc_13_15_1,Ignore,Ignorer,Ignorare,Ignorieren,Ignorar,Ignorar,Görmezden gelmek,игнорировать,無視する,무시하다,忽略,يتجاهل
sc_13_15_2,Help,Aide,Aiuto,Helfen,Ayuda,Ajuda,Yardım,Помощь,ヘルプ,돕다,帮助,يساعد
sc_14_15_1,Ignore,Ignorer,Ignorare,Ignorieren,Ignorar,Ignorar,Görmezden gelmek,игнорировать,無視する,무시하다,忽略,يتجاهل
sc_14_15_2,Help,Aide,Aiuto,Helfen,Ayuda,Ajuda,Yardım,Помощь,ヘルプ,돕다,帮助,يساعد
sc_20_21_1,Send Money,Envoyer de l'argent,Invia denaro,Geld senden,enviar dinero,Enviar dinheiro,Para Gönder,Отправить деньги,送金,송금,汇款,إرسال الأموال
sc_20_21_2,Decline,Déclin,Declino,Abfall,Rechazar,Declínio,Reddetmek,Отклонить,衰退,감소,衰退,انخفاض
sc_24_1,North Trail,Sentier Nord,Sentiero Nord,Nordweg,Sendero Norte,Trilha Norte,Kuzey Yolu,Северная тропа,ノーストレイル,노스 트레일,北径,درب الشمال
sc_24_2,South Trail,Sentier Sud,Sentiero Sud,Südweg,Sendero Sur,Trilha Sul,Güney Yolu,Южная тропа,サウストレイル,사우스 트레일,南径,درب الجنوب
sc_25_29_1,Keep Running,Continuez à courir,Continua a correre,Laufen Sie weiter,Sigue corriendo,Continue correndo,Koşmaya Devam Et,Продолжайте бежать,走り続ける,계속 달리다,继续奔跑,استمر في الجري
